notice;adresse;codePostal;ville;typeLieu;dateDebut;anneeDebut;dateFin;anneeFin;titreNotice;typePersonne;activitePersonne;activiteComment;latitude;longitude;score;vignette;commentaire;uuid_collection_1;nom_collection_1;uuid_collection_2;nom_collection_2
7197e8c7-4a81-4fa9-a981-48a63b92cdfa;Rue Sainte-Hélène (maison Em Perret);69002;Lyon;adresse privée;1832-01-01;1832;1832-12-31;1832;Trimolet, Edma;personne;collectionneuse;;45.74846;4.84671;;http://agorha.inha.fr/ark:/54721/1a1b6447-5765-4c59-a0d9-7305f10ff7c3/doc/22595232-2e8c-49fa-a9f1-1e5c285d6c87/thumbnail.jpg;;755855b3-4498-4187-a545-40aef7557bf8;Collection d'Anthelme et Edma Trimolet;;
7197e8c7-4a81-4fa9-a981-48a63b92cdfa;7 rue Saint-Dominique, aujourd’hui rue Émile-Zola;69002;Lyon;adresse privée;1778-01-01;1868;1878-12-31;1878;Trimolet, Edma;personne;collectionneuse;;45.759299;4.832752;0.7638827272727272;http://agorha.inha.fr/ark:/54721/1a1b6447-5765-4c59-a0d9-7305f10ff7c3/doc/22595232-2e8c-49fa-a9f1-1e5c285d6c87/thumbnail.jpg;;755855b3-4498-4187-a545-40aef7557bf8;Collection d'Anthelme et Edma Trimolet;;
7197e8c7-4a81-4fa9-a981-48a63b92cdfa;17 rue Saint-Joseph, aujourd’hui rue Auguste-Comte;69002;Lyon;adresse privée;1855-01-01;1855;1878-12-31;1878;Trimolet, Edma;personne;collectionneuse;;45.754752;4.831182;0.969381818181818;http://agorha.inha.fr/ark:/54721/1a1b6447-5765-4c59-a0d9-7305f10ff7c3/doc/22595232-2e8c-49fa-a9f1-1e5c285d6c87/thumbnail.jpg;;755855b3-4498-4187-a545-40aef7557bf8;Collection d'Anthelme et Edma Trimolet;;
9f122902-403c-44a8-86da-0d30943c11d1;34 avenue de l'Opéra;75002;Paris;adresse professionnelle;1893-01-01;1893;1900-12-31;1900;Au Pavillon Japonais;collectivité;marchand;;48.868662;2.333382;0.962241818181818;;;;;;
ed8e202c-6fbf-47ce-b92a-44e4adfa8d79;20 rue Saint-Marc;75002;Paris;adresse professionnelle;1861-01-01;1861;1862-12-31;1862;Au céleste empire;collectivité;marchand;;48.87048025132915;2.340093294268186;;;;;;;
9483e511-a4bd-4b94-aa09-ca2a8665dfe9;202 rue de Rivoli;75001;Paris;adresse professionnelle;1882-01-01;1882;1882-12-31;1882;A la Vénus de Milo;collectivité;marchand;<p>Curiosités, porcelaines de Saxe, Sèvres, Chine et Japon.</p>;48.86343441903292;2.333250632391455;;;localisation approximative;;;;
76318b15-fff2-45b4-8d27-4189cf39a9b8;3 rue Nicolo;75016;Paris;adresse privée;1896-01-01;1896;1905-12-31;1905;David-Neel, Alexandra;personne;artiste lyrique, actrice, écrivain, collectionneuse;;48.858179;2.280656;0.97802;https://agorha.inha.fr/ark:/54721/9411525e-93c6-479c-90ad-71e4cf1c50c7/doc/4dcd0736-6f5a-42b1-b6a2-a732aa4b92f4/thumbnail.jpg;;915234cb-4efa-44a6-b6aa-ed44861aa07f;Collection d'Alexandra David-Neel;;
76318b15-fff2-45b4-8d27-4189cf39a9b8;« Samten Dzong », anciennement : route de Nice, aujourd’hui : 27 avenue du Maréchal Juin;04000;Digne-les-Bains;adresse privée;1928-01-01;1928;1969-12-31;1969;David-Neel, Alexandra;personne;artiste lyrique, actrice, écrivain, collectionneuse;;44.081888;6.224168;0.964231818181818;https://agorha.inha.fr/ark:/54721/9411525e-93c6-479c-90ad-71e4cf1c50c7/doc/4dcd0736-6f5a-42b1-b6a2-a732aa4b92f4/thumbnail.jpg;;915234cb-4efa-44a6-b6aa-ed44861aa07f;Collection d'Alexandra David-Neel;;
1fd5d5fa-f4df-45bb-8046-76ef0d9d074a;16 boulevard du Jeu de Paume;34000;Montpellier;adresse privée;1853-01-01;1853;1857-12-31;1857;Itier, Jules;personne;surnuméraire, commis dans la fonction publique, sous-inspecteur, inspecteur, directeur, receveur des finances, collectionneur;;43.607869;3.873666;0.9782881818181818;https://agorha.inha.fr/ark:/54721/8907b3f9-0447-4470-84fc-78d4694a7f20/doc/d84f7190-eb1b-4454-855c-add3449a3b56/thumbnail.jpg;;47dcf98c-7531-4e54-9dea-4083605ec1e4;Collection de Jules Itier;;
1fd5d5fa-f4df-45bb-8046-76ef0d9d074a;1 place Jacques Cœur;34000;Montpellier;adresse privée;1866-01-01;1866;1874-12-31;1874;Itier, Jules;personne;surnuméraire, commis dans la fonction publique, sous-inspecteur, inspecteur, directeur, receveur des finances, collectionneur;;43.609149;3.879016;0.5982241106719367;https://agorha.inha.fr/ark:/54721/8907b3f9-0447-4470-84fc-78d4694a7f20/doc/d84f7190-eb1b-4454-855c-add3449a3b56/thumbnail.jpg;;47dcf98c-7531-4e54-9dea-4083605ec1e4;Collection de Jules Itier;;
